Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Denmark,ChatGPT,Kyiv,Coronapas,Samfundssind,Klimatosse,Hvidvask,Kvindelandsholdet,Danskhed,Flygtningestrømme,MobilePay,Undskyld
Norway,"KI-generert
",krympflasjon,sportsvaske,koronaen,klimabrøl,skjebnelandsmøte,falske nyhende,kvardagsintegrering,det grøne skiftet,framandkrigar,sakte-tv
Russia,искусственный интеллект,война,вакцинация,обнуление,протест,Новичок,реновация,Брексит,беженцы,крымнаш,госдура
Ukraine,мобілізація,"русский военный корабль, иди на хуй",вакцина,коронавірус,діджиталізація,томос,безвіз,корупція,блокада,кіборги,Євромайдан
Germany,Krisenmodus,Zeitenwende,Wellenbrecher,Corona-Pandemie,Respektrente,Heißzeit,Jamaika-Aus,postfaktisch,Flüchtlinge,Lichtgrenze,GroKo
Japan,アレ（A.R.E）,村神様,村神様,3密,ONE TEAM,そだねー,インスタ映え,神ってる,爆買い,ダメよ〜ダメダメ,今でしょ!
Portugal,professor,guerra,vacina,saudade,violência [doméstica],enfermeiro,incêndios,geringonça,refugiado,corrupção,bombeiro
Spain,polarización,inteligencia artificial,vacuna,confinamiento,emoji,microplástico,aporofobia,populismo,refugiado,selfi,escrache
Estonia,idavedu,,kobarkäkk,lähikontaktne,,,,peenhäälestus,,,
Netherlands,graaiflatie,klimaatklever,prikspijt,"anderhalvemetersamenleving
('pooleteistmeetri ühiskond')",boomer,blokkeerfries,appongeluk,treitervlogger,sjoemelsoftware,dagobertducktaks,selfie
Latvia,atdēvēt,okupeklis,kvadrātkōds,sejauts,notumse,zibmaksājums,"straumēt, straumēšana",jaunuzņēmums,atkraste,ausīši,pašbilde
Australia,Matilda,teal,strollout,iso,Voice,Canberra bubble,Kwaussie,democracy sausage,sharing economy,shirtfront,bitcoin
US,authentic,gaslighting,vaccine,pandemic,they,justice,feminism,surreal,-ism,culture,science
Britain,AI,permacrisis,NFT,lockdown,climate strike,single-use,fake news,Brexit,binge-watch,photobomb,geek